Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),Total Precip (mm),Avg Sol Rad (W/sq.m),Avg Vap Pres (kPa),Avg Max Air Temp (C),Avg Min Air Temp (C),Avg Air Temp (C),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (C),Avg Wind Speed (m/s),Avg Soil Temp (C)
2,FivePoints,San Joaquin Valley,2015-01-01,30.47,4.8,83.0,0.9,14.3,2.8,7.8,94.0,62.0,81.0,4.7,1.5,10.5
2,FivePoints,San Joaquin Valley,2015-02-01,66.69,8.3,144.0,1.0,20.8,5.1,12.6,88.0,44.0,67.0,6.4,2.2,13.2
2,FivePoints,San Joaquin Valley,2015-03-01,134.15,1.0,221.0,0.9,24.9,7.6,16.3,75.0,29.0,49.0,5.0,2.6,15.2
2,FivePoints,San Joaquin Valley,2015-04-01,175.32,11.3,278.0,0.8,25.3,7.5,16.9,69.0,23.0,40.0,2.9,3.0,16.9
2,FivePoints,San Joaquin Valley,2015-05-01,188.6,11.9,301.0,0.9,27.4,10.8,19.3,74.0,25.0,43.0,5.8,2.6,19.1
2,FivePoints,San Joaquin Valley,2015-06-01,229.52,0.0,332.0,1.1,34.8,15.7,25.9,60.0,19.0,34.0,8.3,2.6,23.3
2,FivePoints,San Joaquin Valley,2015-07-01,226.23,1.6,312.0,1.3,34.6,17.5,26.3,65.0,24.0,39.0,11.0,2.7,25.7
2,FivePoints,San Joaquin Valley,2015-08-01,221.16,0.0,299.0,1.2,34.8,16.8,26.2,63.0,22.0,36.0,9.6,2.8,25.3
2,FivePoints,San Joaquin Valley,2015-09-01,174.91,0.1,242.0,0.9,33.1,14.5,24.0,55.0,18.0,32.0,5.6,2.5,23.4
2,FivePoints,San Joaquin Valley,2015-10-01,116.62,6.5,183.0,1.2,28.6,12.3,20.0,73.0,30.0,49.0,8.7,2.2,21.5
2,FivePoints,San Joaquin Valley,2015-11-01,59.13,18.4,129.0,0.8,17.6,1.9,9.1,88.0,41.0,66.0,3.0,2.1,14.7
2,FivePoints,San Joaquin Valley,2015-12-01,37.46,30.2,85.0,0.7,13.9,0.4,6.8,90.0,51.0,73.0,2.2,2.2,10.6
2,FivePoints,San Joaquin Valley,2016-01-01,35.75,81.2,86.0,1.0,14.9,4.9,9.5,93.0,63.0,80.0,6.3,2.2,10.9
2,FivePoints,San Joaquin Valley,2016-02-01,76.69,0.5,167.0,0.9,19.9,4.3,11.7,88.0,42.0,67.0,5.6,2.1,11.8
2,FivePoints,San Joaquin Valley,2016-03-01,107.13,32.6,190.0,1.0,21.2,6.2,14.2,83.0,38.0,59.0,6.2,2.7,14.6
2,FivePoints,San Joaquin Valley,2016-04-01,158.8,11.3,252.0,0.9,25.4,9.8,17.5,73.0,29.0,47.0,5.4,3.0,17.5
2,FivePoints,San Joaquin Valley,2016-05-01,196.89,11.9,302.0,1.1,28.3,11.8,20.6,74.0,27.0,45.0,7.8,2.7,20.1
2,FivePoints,San Joaquin Valley,2016-06-01,247.38,0.0,344.0,1.0,34.4,15.2,25.6,57.0,17.0,30.0,6.5,3.0,22.2
2,FivePoints,San Joaquin Valley,2016-07-01,251.75,0.0,350.0,1.1,36.6,16.1,27.0,58.0,16.0,30.0,7.7,2.5,23.5
2,FivePoints,San Joaquin Valley,2016-08-01,223.4,0.0,307.0,1.1,35.9,15.9,26.3,62.0,16.0,31.0,7.8,2.3,24.1
2,FivePoints,San Joaquin Valley,2016-09-01,172.4,0.0,260.0,0.9,32.7,12.0,22.7,61.0,17.0,32.0,5.1,2.2,23.1
2,FivePoints,San Joaquin Valley,2016-10-01,112.96,17.2,181.0,1.0,26.0,9.4,17.5,73.0,30.0,49.0,6.4,2.4,19.9
2,FivePoints,San Joaquin Valley,2016-11-01,56.92,26.3,112.0,1.0,20.7,6.2,12.8,87.0,45.0,69.0,7.0,1.9,16.6
2,FivePoints,San Joaquin Valley,2016-12-01,34.55,23.7,80.0,0.8,13.8,2.1,7.6,90.0,53.0,74.0,3.3,2.1,11.7
