Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),qc,Total Precip (mm),qc,Avg Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Avg Max Air Temp (C),qc,Avg Min Air Temp (C),qc,Avg Air Temp (C),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (C),qc,Avg Wind Speed (m/s),qc,Avg Soil Temp (C),qc
2,FivePoints,San Joaquin Valley,Jan 2015,30.47, ,4.80,K,83, ,0.9, ,14.3, ,2.8, ,7.8, ,94, ,62, ,81, ,4.7, ,1.5, ,10.5, 
2,FivePoints,San Joaquin Valley,Feb 2015,66.69,K,8.30, ,144, ,1.0, ,20.8,K,5.1, ,12.6,K,88,K,44,K,67,K,6.4,K,2.2,K,13.2, 
2,FivePoints,San Joaquin Valley,Mar 2015,134.15, ,1.00, ,221,K,0.9, ,24.9,K,7.6,K,16.3,K,75, ,29, ,49,K,5.0,K,2.6,K,15.2,K
2,FivePoints,San Joaquin Valley,Apr 2015,175.32, ,11.30, ,278, ,0.8,K,25.3, ,7.5, ,16.9, ,69, ,23, ,40,K,2.9,K,3.0,K,16.9, 
2,FivePoints,San Joaquin Valley,May 2015,188.60, ,11.90, ,301,K,0.9, ,27.4, ,10.8, ,19.3, ,74, ,25, ,43, ,5.8, ,2.6, ,19.1, 
2,FivePoints,San Joaquin Valley,Jun 2015,229.52, ,0.00, ,332,K,1.1, ,34.8, ,15.7,K,25.9, ,60, ,19, ,34, ,8.3, ,2.6, ,23.3, 
2,FivePoints,San Joaquin Valley,Jul 2015,226.23, ,1.60, ,312,K,1.3, ,34.6,K,17.5,K,26.3, ,65, ,24, ,39, ,11.0, ,2.7,K,25.7, 
2,FivePoints,San Joaquin Valley,Aug 2015,221.16, ,0.00, ,299, ,1.2,K,34.8,K,16.8, ,26.2, ,63, ,22, ,36,K,9.6,K,2.8,K,25.3, 
2,FivePoints,San Joaquin Valley,Sep 2015,174.91, ,0.10, ,242,K,0.9,K,33.1, ,14.5,K,24.0, ,55, ,18, ,32,K,5.6,K,2.5, ,23.4, 
2,FivePoints,San Joaquin Valley,Oct 2015,116.62, ,6.50, ,183, ,1.2,K,28.6, ,12.3,K,20.0, ,73, ,30, ,49,L,8.7,L,2.2, ,21.5,K
2,FivePoints,San Joaquin Valley,Nov 2015,59.13, ,18.40, ,129,K,0.8, ,17.6, ,1.9, ,9.1, ,88, ,41, ,66, ,3.0, ,2.1,K,14.7, 
2,FivePoints,San Joaquin Valley,Dec 2015,37.46,K,30.20, ,85, ,0.7, ,13.9,K,0.4, ,6.8, ,90, ,51, ,73, ,2.2, ,2.2, ,10.6, 
2,FivePoints,San Joaquin Valley,Jan 2016,35.75, ,81.20,K,86, ,1.0, ,14.9, ,4.9, ,9.5, ,93, ,63, ,80, ,6.3, ,2.2,K,10.9, 
2,FivePoints,San Joaquin Valley,Feb 2016,76.69, ,0.50, ,167, ,0.9, ,19.9,K,4.3,K,11.7, ,88, ,42, ,67, ,5.6, ,2.1,K,11.8, 
